,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome
199,61,blue-collar,divorced,primary,no,1428,yes,no,secondary,82,2,-1,0,failure
200,47,admin.,married,secondary,no,219,yes,no,secondary,577,1,-1,0,failure
201,48,self-employed,married,tertiary,no,7,yes,no,secondary,286,1,-1,0,failure
202,44,blue-collar,married,secondary,no,575,yes,no,secondary,477,1,-1,0,failure
203,35,student,single,secondary,no,298,yes,no,secondary,611,2,-1,0,failure
204,35,services,married,secondary,no,0,yes,no,secondary,471,1,-1,0,failure
205,50,services,married,secondary,no,5699,yes,no,secondary,381,2,-1,0,failure
206,41,management,married,tertiary,no,176,yes,yes,secondary,42,1,-1,0,failure
207,41,management,married,tertiary,no,517,yes,no,secondary,251,1,-1,0,failure
208,39,services,single,secondary,no,257,yes,no,secondary,408,1,-1,0,failure
209,42,retired,married,secondary,no,56,yes,no,secondary,215,1,-1,0,failure
210,38,blue-collar,married,secondary,no,-390,yes,no,secondary,287,1,-1,0,failure
211,53,retired,married,secondary,no,330,yes,no,secondary,216,2,-1,0,failure
212,59,housemaid,divorced,primary,no,195,no,no,secondary,366,2,-1,0,failure
213,36,services,married,secondary,no,301,yes,no,secondary,210,1,-1,0,failure
214,54,blue-collar,married,primary,no,-41,yes,no,secondary,288,1,-1,0,failure
215,40,technician,married,tertiary,no,483,yes,no,secondary,168,1,-1,0,failure
216,47,blue-collar,married,secondary,no,28,no,no,secondary,338,2,-1,0,failure
217,53,unemployed,married,secondary,no,13,no,no,secondary,410,3,-1,0,failure
218,46,housemaid,married,primary,no,965,no,no,secondary,177,1,-1,0,failure
219,39,management,married,tertiary,no,378,yes,yes,secondary,127,2,-1,0,failure
220,40,unemployed,married,secondary,no,219,yes,no,secondary,357,1,-1,0,failure
221,28,blue-collar,married,primary,no,324,yes,no,secondary,175,1,-1,0,failure
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,secondary,300,1,-1,0,failure
223,55,retired,married,secondary,no,0,no,yes,secondary,136,1,-1,0,failure
224,43,technician,divorced,secondary,no,205,yes,no,secondary,1419,1,-1,0,failure
225,48,blue-collar,married,primary,no,278,yes,no,secondary,125,2,-1,0,failure
226,58,management,married,secondary,no,1065,yes,no,secondary,213,3,-1,0,failure
227,33,management,single,tertiary,no,34,yes,no,secondary,27,1,-1,0,failure
228,36,blue-collar,married,secondary,no,1033,no,no,secondary,238,2,-1,0,failure
229,53,services,divorced,secondary,no,1467,yes,no,secondary,124,1,-1,0,failure
230,47,blue-collar,married,primary,no,-12,yes,no,secondary,18,1,-1,0,failure
231,31,services,married,secondary,no,388,yes,no,secondary,730,2,-1,0,failure
232,57,entrepreneur,married,secondary,no,294,yes,no,secondary,746,2,-1,0,failure
233,53,blue-collar,married,secondary,no,1827,no,no,secondary,121,1,-1,0,failure
234,55,blue-collar,married,primary,no,627,yes,no,secondary,247,1,-1,0,failure
235,45,blue-collar,married,primary,no,25,yes,no,secondary,40,1,-1,0,failure
236,53,admin.,divorced,secondary,no,315,yes,no,secondary,181,2,-1,0,failure
237,37,blue-collar,married,primary,no,0,yes,no,secondary,79,1,-1,0,failure
238,44,admin.,divorced,secondary,no,66,yes,no,secondary,206,1,-1,0,failure
239,49,blue-collar,divorced,primary,no,-9,yes,yes,secondary,389,1,-1,0,failure
240,46,technician,married,secondary,no,349,yes,yes,secondary,127,1,-1,0,failure
241,43,entrepreneur,married,secondary,no,100,yes,no,secondary,702,1,-1,0,failure
242,38,admin.,married,secondary,no,0,no,no,secondary,151,1,-1,0,failure
243,43,technician,married,secondary,no,434,yes,no,secondary,117,1,-1,0,failure
244,49,management,married,tertiary,no,3237,yes,no,secondary,232,3,-1,0,failure
245,42,management,married,secondary,no,275,no,no,secondary,408,2,-1,0,failure
246,22,blue-collar,single,secondary,no,0,yes,no,secondary,179,2,-1,0,failure
247,40,management,married,tertiary,no,207,yes,no,secondary,39,1,-1,0,failure
248,39,blue-collar,married,secondary,no,483,yes,no,secondary,282,1,-1,0,failure
249,51,services,married,secondary,no,2248,yes,no,secondary,714,2,-1,0,failure
250,49,admin.,married,secondary,no,428,yes,no,secondary,50,1,-1,0,failure
251,53,blue-collar,married,secondary,no,0,yes,yes,secondary,181,1,-1,0,failure
252,34,services,single,secondary,no,0,yes,no,secondary,142,1,-1,0,failure
253,33,technician,divorced,secondary,no,140,yes,no,secondary,227,1,-1,0,failure
254,50,management,single,tertiary,no,297,yes,no,secondary,119,1,-1,0,failure
255,39,blue-collar,married,primary,no,279,yes,no,secondary,361,1,-1,0,failure
256,59,entrepreneur,divorced,secondary,no,901,yes,no,secondary,73,3,-1,0,failure
257,30,technician,single,secondary,no,2573,yes,no,secondary,67,2,-1,0,failure
258,36,services,married,secondary,no,143,yes,yes,secondary,350,1,-1,0,failure
259,40,blue-collar,married,secondary,no,475,yes,no,secondary,332,2,-1,0,failure
260,53,blue-collar,married,secondary,no,70,yes,no,secondary,611,2,-1,0,failure
261,34,management,single,tertiary,no,318,yes,no,secondary,113,2,-1,0,failure
262,37,technician,married,secondary,no,275,yes,no,secondary,132,1,-1,0,failure
263,42,management,divorced,tertiary,no,742,yes,no,secondary,58,3,-1,0,failure
264,41,entrepreneur,married,primary,no,236,yes,no,secondary,151,1,-1,0,failure
265,30,student,single,tertiary,no,25,yes,no,secondary,89,2,-1,0,failure
266,37,management,single,tertiary,no,600,yes,no,secondary,152,1,-1,0,failure
267,39,admin.,divorced,secondary,no,-349,yes,no,secondary,611,2,-1,0,failure
268,41,blue-collar,married,primary,no,183,yes,yes,secondary,110,2,-1,0,failure
269,40,blue-collar,married,primary,no,0,yes,no,secondary,463,1,-1,0,failure
270,42,management,single,tertiary,no,0,yes,yes,secondary,562,2,-1,0,failure
271,40,blue-collar,divorced,primary,no,0,yes,no,secondary,962,1,-1,0,failure
272,57,technician,married,secondary,no,1078,yes,no,secondary,10,4,-1,0,failure
273,56,entrepreneur,divorced,secondary,no,155,no,no,secondary,118,3,-1,0,failure
274,37,admin.,married,secondary,no,190,yes,no,secondary,92,2,-1,0,failure
275,59,retired,married,secondary,no,319,yes,no,secondary,143,3,-1,0,failure
276,39,services,divorced,secondary,no,-185,yes,no,secondary,189,3,-1,0,failure
277,49,services,married,secondary,no,47,no,no,secondary,234,2,-1,0,failure
278,38,services,single,secondary,no,570,yes,no,secondary,75,2,-1,0,failure
279,36,self-employed,married,tertiary,no,19,no,no,secondary,189,2,-1,0,failure
280,50,blue-collar,married,primary,no,61,yes,no,secondary,621,3,-1,0,failure
281,41,admin.,married,secondary,no,-62,yes,yes,secondary,55,2,-1,0,failure
282,54,technician,married,tertiary,no,258,no,no,secondary,310,4,-1,0,failure
283,58,blue-collar,married,primary,no,76,yes,no,secondary,156,2,-1,0,failure
284,30,blue-collar,single,secondary,no,0,yes,no,secondary,5,2,-1,0,failure
285,33,admin.,single,secondary,no,352,yes,no,secondary,225,2,-1,0,failure
286,47,admin.,married,secondary,no,368,yes,no,secondary,125,2,-1,0,failure
287,50,technician,single,tertiary,no,339,yes,no,secondary,2,3,-1,0,failure
288,32,blue-collar,married,secondary,no,1331,yes,no,secondary,286,2,-1,0,failure
289,40,self-employed,married,secondary,no,672,yes,no,secondary,164,2,-1,0,failure
290,37,management,married,tertiary,no,58,yes,no,secondary,98,2,-1,0,failure
291,54,technician,single,secondary,no,447,yes,no,secondary,742,2,-1,0,failure
292,24,student,single,secondary,no,423,yes,no,secondary,226,3,-1,0,failure
293,54,management,married,tertiary,no,0,no,no,secondary,120,2,-1,0,failure
294,34,technician,married,secondary,no,19,yes,no,secondary,362,4,-1,0,failure
295,56,technician,divorced,primary,no,13,yes,no,secondary,357,2,-1,0,failure
296,31,blue-collar,single,secondary,no,3,yes,no,secondary,200,2,-1,0,failure
297,24,student,single,secondary,no,82,yes,no,secondary,204,2,-1,0,failure
298,42,blue-collar,divorced,primary,no,28,yes,no,secondary,126,3,-1,0,failure
299,57,technician,married,secondary,no,792,yes,no,secondary,65,2,-1,0,failure
300,42,blue-collar,married,secondary,no,408,yes,no,secondary,107,2,-1,0,failure
301,51,admin.,married,secondary,no,531,yes,no,secondary,267,2,-1,0,failure
302,57,retired,married,secondary,no,211,yes,no,secondary,248,2,-1,0,failure
303,36,services,single,secondary,no,62,yes,no,secondary,215,2,-1,0,failure
304,53,services,married,secondary,no,257,yes,no,secondary,209,2,-1,0,failure
305,50,technician,married,secondary,no,1234,yes,no,secondary,205,2,-1,0,failure
306,54,management,married,tertiary,no,313,yes,no,secondary,83,2,-1,0,failure
307,55,blue-collar,married,secondary,no,89,yes,no,secondary,106,3,-1,0,failure
308,44,blue-collar,married,secondary,no,129,yes,yes,secondary,189,2,-1,0,failure
309,43,management,married,secondary,no,0,yes,no,secondary,105,2,-1,0,failure
310,56,admin.,married,secondary,no,353,yes,no,secondary,106,2,-1,0,failure
311,54,technician,married,secondary,no,851,yes,no,secondary,108,2,-1,0,failure
312,55,services,divorced,primary,no,96,yes,yes,secondary,311,2,-1,0,failure
313,37,services,divorced,secondary,no,398,yes,yes,secondary,214,2,-1,0,failure
314,33,admin.,single,tertiary,no,193,no,no,secondary,132,2,-1,0,failure
315,46,admin.,married,secondary,no,-358,yes,no,secondary,358,2,-1,0,failure
316,36,blue-collar,married,secondary,no,539,yes,yes,secondary,453,2,-1,0,failure
317,51,technician,single,secondary,no,0,yes,no,secondary,364,2,-1,0,failure
318,40,retired,single,primary,no,0,no,no,secondary,136,2,-1,0,failure
319,42,blue-collar,married,secondary,no,490,yes,no,secondary,386,2,-1,0,failure
320,51,blue-collar,married,secondary,no,0,yes,no,secondary,173,2,-1,0,failure
321,49,blue-collar,married,secondary,no,403,yes,no,secondary,241,2,-1,0,failure
322,48,management,married,secondary,no,161,yes,no,secondary,224,3,-1,0,failure
323,32,technician,divorced,tertiary,no,2558,no,no,secondary,148,2,-1,0,failure
324,31,admin.,single,secondary,no,98,yes,no,secondary,196,2,-1,0,failure
325,55,management,single,tertiary,no,115,no,no,secondary,111,4,-1,0,failure
326,40,blue-collar,single,secondary,no,436,yes,no,secondary,231,3,-1,0,failure
327,47,technician,married,tertiary,no,831,yes,no,secondary,316,3,-1,0,failure
328,57,technician,married,secondary,no,206,yes,no,secondary,216,3,-1,0,failure
329,41,blue-collar,married,secondary,no,290,yes,no,secondary,240,2,-1,0,failure
330,48,blue-collar,married,secondary,no,1,no,no,secondary,669,3,-1,0,failure
331,42,blue-collar,married,secondary,no,57,yes,no,secondary,425,2,-1,0,failure
332,30,blue-collar,single,secondary,no,-457,yes,no,secondary,143,2,-1,0,failure
333,58,management,single,tertiary,no,1387,yes,no,secondary,174,5,-1,0,failure
334,45,management,divorced,tertiary,no,24598,yes,no,secondary,313,3,-1,0,failure
335,49,blue-collar,married,secondary,no,30,yes,no,secondary,135,4,-1,0,failure
336,42,admin.,single,secondary,no,1022,yes,no,secondary,146,2,-1,0,failure
337,53,technician,married,secondary,no,56,yes,yes,secondary,152,2,-1,0,failure
338,51,admin.,single,secondary,yes,-2,no,no,secondary,402,3,-1,0,failure
339,32,services,single,secondary,no,121,yes,no,secondary,213,2,-1,0,failure
340,41,blue-collar,single,secondary,no,842,yes,no,secondary,144,3,-1,0,failure
341,43,management,divorced,secondary,no,693,yes,no,secondary,124,3,-1,0,failure
342,40,blue-collar,divorced,secondary,no,-333,yes,no,secondary,183,2,-1,0,failure
343,50,blue-collar,married,primary,no,1533,yes,no,secondary,325,2,-1,0,failure
344,34,management,married,tertiary,no,46,yes,no,secondary,39,4,-1,0,failure
345,53,services,married,secondary,no,18,no,no,secondary,503,2,-1,0,failure
346,45,technician,married,secondary,no,44,yes,no,secondary,95,4,-1,0,failure
347,39,blue-collar,married,primary,no,-100,yes,no,secondary,680,2,-1,0,failure
348,44,services,married,tertiary,no,510,yes,no,secondary,421,4,-1,0,failure
349,55,management,married,tertiary,no,685,yes,no,secondary,174,3,-1,0,failure
350,46,management,single,tertiary,no,187,yes,no,secondary,113,2,-1,0,failure
351,45,blue-collar,married,secondary,no,66,yes,no,secondary,808,2,-1,0,failure
352,34,admin.,married,secondary,no,560,yes,no,secondary,198,3,-1,0,failure
